,Covariance,Components,without PCA,with PCA
0,full,2,0.5119772002428253,0.44804554259827717
1,full,3,0.09313872423006364,0.12028280723088819
2,full,4,0.06893080057278952,0.09358563396988176
3,full,5,0.030228023606132554,0.030967519540451315
4,full,6,0.01247934391540913,0.028861662011982776
5,full,7,0.03344708789764273,0.01677829339638965
6,full,8,-0.0042810775530342975,-0.0038804836216827297
7,full,9,0.007473293887373114,-0.006629241490949516
8,full,10,-0.013376019337537761,-0.009861230796827906
9,full,11,-0.014069358024638103,-0.015327517323659577
10,full,12,0.009581113737245376,-0.02878318760895699
0,diag,2,0.39132840318293044,0.43918439747424565
1,diag,3,0.05214366031702357,0.12485449644721054
2,diag,4,0.009727239318473855,0.08928010292495929
3,diag,5,0.03304193715553812,0.014979751906242223
4,diag,6,-0.00538467905428737,0.0034857645537100536
5,diag,7,-0.012530732453345385,0.007441504279773268
6,diag,8,-0.0317625587019889,0.005006434839978914
7,diag,9,-0.02299792659256245,-0.001270717217195132
8,diag,10,-0.04271374608042625,-0.014624793587728965
9,diag,11,-0.04249083531975685,-0.011022896042195463
10,diag,12,-0.04465348114979478,-0.017687327915287227
0,tied,2,0.9227315218790616,0.9553043042614395
1,tied,3,0.13920853898074764,0.16368978874686976
2,tied,4,0.9240159411941579,0.1715548513602729
3,tied,5,0.14215209241751697,0.1726163233092258
4,tied,6,0.14242076526159997,0.17045465975840932
5,tied,7,0.14212777765048312,0.1707471316938003
6,tied,8,0.1431196444258984,0.17217223651186864
7,tied,9,0.13821417426355712,0.1723819803548766
8,tied,10,0.14035999367649407,0.0779980372756856
9,tied,11,0.14023936009029336,0.1416176058081315
10,tied,12,0.10456016791869313,0.08417946074804361
0,spherical,2,0.7315859979981967,0.8777890531571862
1,spherical,3,0.13292034102166062,0.17830372590429505
2,spherical,4,0.12960250952892155,0.17409219692480327
3,spherical,5,0.12879504289234556,0.1291650302233735
4,spherical,6,0.11752885664679327,0.12851071948719217
5,spherical,7,0.09713849020973819,0.13155098488144779
6,spherical,8,0.09761568047920867,0.13103587755687165
7,spherical,9,0.07652848905897229,0.10574815103140181
8,spherical,10,0.0764995140126183,0.09676317227623907
9,spherical,11,0.09446097657290771,0.10161913607284258
10,spherical,12,0.083730525274667,0.10192916784551247
