N,BIC,Covariance,type
2,535730.1180671592,tied,nonpca
3,482079.944293209,tied,nonpca
4,467419.97704424,tied,nonpca
5,416895.7153145507,tied,nonpca
6,373447.8064429957,tied,nonpca
7,366813.19623088965,tied,nonpca
8,354117.2785598285,tied,nonpca
9,343849.9221473727,tied,nonpca
10,315108.6597708175,tied,nonpca
11,309923.8315161414,tied,nonpca
12,277379.6634870467,tied,nonpca
2,-755564.6003697651,diag,nonpca
3,-1377862.7373812173,diag,nonpca
4,-1575617.7611799575,diag,nonpca
5,-1614095.1807708915,diag,nonpca
6,-1724941.9951621692,diag,nonpca
7,-1798096.6006830814,diag,nonpca
8,-1903517.2113976958,diag,nonpca
9,-1988713.7083815888,diag,nonpca
10,-2021502.7094284045,diag,nonpca
11,-2114472.2763679978,diag,nonpca
12,-2153099.86869594,diag,nonpca
2,1255517.88861392,spherical,nonpca
3,1139173.0922120917,spherical,nonpca
4,1070908.0511989454,spherical,nonpca
5,1069515.6664099013,spherical,nonpca
6,1015085.3496580138,spherical,nonpca
7,971104.9389823617,spherical,nonpca
8,970171.2197209882,spherical,nonpca
9,951842.7438392969,spherical,nonpca
10,951504.445492871,spherical,nonpca
11,931224.5651388762,spherical,nonpca
12,910245.8162787317,spherical,nonpca
2,-1578935.9503459292,full,nonpca
3,-1932807.901815145,full,nonpca
4,-2095519.9709984236,full,nonpca
5,-2150037.9232282466,full,nonpca
6,-2175656.2560840556,full,nonpca
7,-2174214.76246641,full,nonpca
8,-2242442.589424204,full,nonpca
9,-2142039.5405279766,full,nonpca
10,-2157322.6971343406,full,nonpca
11,-2312714.7910382235,full,nonpca
12,-2216840.71926813,full,nonpca
2,706949.1199694718,tied,pca
3,663734.7533791009,tied,pca
4,608421.3987042021,tied,pca
5,595092.8084450637,tied,pca
6,574558.6397083147,tied,pca
7,561221.3777627397,tied,pca
8,535858.6264507554,tied,pca
9,518027.6973693593,tied,pca
10,527981.7036774042,tied,pca
11,505857.3265735576,tied,pca
12,503541.84629992425,tied,pca
2,423652.6172706049,diag,pca
3,298365.9820956268,diag,pca
4,249380.33806935293,diag,pca
5,201372.80669241428,diag,pca
6,195301.2907801004,diag,pca
7,184223.1514133684,diag,pca
8,172836.10490937415,diag,pca
9,169525.69120283506,diag,pca
10,168603.50899734613,diag,pca
11,161682.2473441641,diag,pca
12,162424.61966845748,diag,pca
2,632173.7465426008,spherical,pca
3,596154.8788753785,spherical,pca
4,579670.2780806733,spherical,pca
5,565206.3831260601,spherical,pca
6,565048.9103214756,spherical,pca
7,555461.0681124171,spherical,pca
8,555200.1383957439,spherical,pca
9,550737.3677017414,spherical,pca
10,544403.3640903207,spherical,pca
11,539963.7683919118,spherical,pca
12,539863.0063897258,spherical,pca
2,344620.80561605154,full,pca
3,226674.19826497757,full,pca
4,181442.54947354557,full,pca
5,150220.83732781545,full,pca
6,149359.6598468841,full,pca
7,137494.18561176222,full,pca
8,131341.57964499685,full,pca
9,118512.4842049602,full,pca
10,120257.12023953215,full,pca
11,119566.73779910342,full,pca
12,109776.5221891835,full,pca
