,ARI,NMI,Jaccard,cov,n,type
0,1.0,1.0,1.0,tied,2,non-pca
1,-0.00044320859702140476,5.31952142752584e-05,0.9980009775,tied,2,non-pca
2,1.0,1.0,1.0,tied,2,non-pca
3,1.0,1.0,1.0,tied,2,non-pca
4,1.0,1.0,1.0,tied,2,non-pca
5,1.0,1.0,1.0,tied,2,non-pca
6,0.6404843020788721,0.5605043119998779,0.0009491925,tied,2,non-pca
7,1.0,1.0,1.0,tied,2,non-pca
8,1.0,1.0,1.0,tied,2,non-pca
9,1.0,1.0,1.0,tied,2,non-pca
0,0.9966922240878029,0.9894764889927843,0.00035,tied,3,non-pca
1,1.0,1.0,0.2849,tied,3,non-pca
2,0.998994971392848,0.9961356649474367,0.713000753955049,tied,3,non-pca
3,1.0,1.0,0.0018,tied,3,non-pca
4,0.006595837457288575,0.025029614517201912,0.5096826800820944,tied,3,non-pca
5,1.0,1.0,0.0,tied,3,non-pca
6,0.0065350380117450875,0.024604735714231312,0.5096388659120151,tied,3,non-pca
7,0.9966922240878029,0.9894764889927843,0.00035,tied,3,non-pca
8,1.0,1.0,0.2849,tied,3,non-pca
9,0.006595837457288575,0.025029614517201912,0.5102326800820944,tied,3,non-pca
0,0.006618847734028853,0.030481926237233333,0.2851786079082143,tied,4,non-pca
1,0.006618847734028853,0.030481926237233333,0.713578544609333,tied,4,non-pca
2,1.0,1.0,0.99935,tied,4,non-pca
3,0.5299160930192638,0.5191418956369631,0.9975224067072169,tied,4,non-pca
4,0.006618847734028853,0.030481926237233333,0.2857714650510715,tied,4,non-pca
5,0.006618847734028853,0.030481926237233333,0.7133214017521902,tied,4,non-pca
6,0.006621061190180601,0.030964137598617183,0.7133713892365456,tied,4,non-pca
7,0.004389675123287753,0.017290069055520392,0.7132740528890034,tied,4,non-pca
8,0.8819987867977535,0.8578223273368855,0.9994133333333334,tied,4,non-pca
9,0.004405113196890592,0.01925474258515039,0.7138797546363499,tied,4,non-pca
0,1.0,1.0,0.0,tied,5,non-pca
1,0.9971114668203553,0.9918453823861976,0.0,tied,5,non-pca
2,0.988841162339429,0.9728716043616327,0.9940638676018115,tied,5,non-pca
3,0.9865104337587088,0.9693554534395652,0.004184360639360639,tied,5,non-pca
4,0.9960497442641975,0.9879447169159482,0.0,tied,5,non-pca
5,0.9971114668203553,0.9918453823861976,0.0,tied,5,non-pca
6,0.9982596216328928,0.9945567962032875,0.28526360133000406,tied,5,non-pca
7,0.9969639652637476,0.9913235508497943,0.0,tied,5,non-pca
8,0.9984072059654707,0.9950791129778086,0.9979501751313484,tied,5,non-pca
9,0.988841162339429,0.9728716043616327,0.0012348626100942516,tied,5,non-pca
0,0.5193708673788704,0.7080061441912808,6.143394044521537e-07,tied,6,non-pca
1,0.9987029356516387,0.9958349724051857,0.2847500350938761,tied,6,non-pca
2,1.0,1.0,0.00035,tied,6,non-pca
3,0.9861802777272912,0.9683576442675446,0.9922645199540991,tied,6,non-pca
4,1.0,1.0,0.0,tied,6,non-pca
5,0.9987029356516387,0.9958349724051857,0.00085,tied,6,non-pca
6,0.9848945086580938,0.9651450631608918,0.7100619194914293,tied,6,non-pca
7,0.9979684164556005,0.9939626401017654,0.00024273442195952714,tied,6,non-pca
8,0.9987029356516387,0.9958349724051857,0.9983002594191477,tied,6,non-pca
9,0.9864735096549305,0.9694015240176332,0.2875912129059351,tied,6,non-pca
0,0.9987174801846619,0.9960490014416488,0.7087,tied,7,non-pca
1,0.5163059604284661,0.695836608787565,0.00037853688029020554,tied,7,non-pca
2,0.9836241944914329,0.9639913958140899,0.0007441176470588236,tied,7,non-pca
3,0.999940486786618,0.9994029177385265,0.0006,tied,7,non-pca
4,0.999940486786618,0.9994029177385265,0.28350000881523274,tied,7,non-pca
5,0.9986579880317543,0.9954529379736199,0.0059497361941610975,tied,7,non-pca
6,0.999940486786618,0.9994029177385265,0.0011,tied,7,non-pca
7,1.0,1.0,0.2838,tied,7,non-pca
8,0.9839135463398778,0.9646409944475672,0.00025,tied,7,non-pca
9,0.999940486786618,0.9994029177385265,0.0006,tied,7,non-pca
0,0.5235737526680202,0.7196407416143199,3.694581280788177e-07,tied,8,non-pca
1,0.9975235596610595,0.9921857890307697,0.00025,tied,8,non-pca
2,0.5154293260411394,0.6924508742462597,0.3426985419454815,tied,8,non-pca
3,0.5159094455647999,0.6934747655669021,0.363458269656007,tied,8,non-pca
4,0.9975241765128351,0.9927164596533609,0.00035,tied,8,non-pca
5,1.0,1.0000000000000002,0.0,tied,8,non-pca
6,0.9975235596610595,0.9921857890307697,0.708003311546841,tied,8,non-pca
7,0.5154320380254126,0.6920145468138387,0.3434988018637464,tied,8,non-pca
8,0.983279728572067,0.9626478967149127,0.7035836137989062,tied,8,non-pca
9,0.5161623963793097,0.694681682045265,0.0008,tied,8,non-pca
0,0.9869752046252664,0.9720351028084991,0.36460251314520925,tied,9,non-pca
1,0.9871339502988028,0.9723042374332168,0.0025152144265933127,tied,9,non-pca
2,0.9871346470464221,0.9726258964180252,0.0001,tied,9,non-pca
3,0.9995201962262732,0.9985939342877026,0.6531875611496127,tied,9,non-pca
4,0.9871339502988028,0.9723042374332168,0.0012517690484420523,tied,9,non-pca
5,0.9869752046252664,0.9720351028084991,0.36455799633848657,tied,9,non-pca
6,0.5167752814717419,0.6952367235221799,0.16900096594283717,tied,9,non-pca
7,0.9984951554489798,0.9957703988258014,0.34455010871140745,tied,9,non-pca
8,0.986811305816263,0.971799229408093,0.28470178330758217,tied,9,non-pca
9,0.9871346470464221,0.9726258964180251,0.36356037428803906,tied,9,non-pca
0,0.9989714434119736,0.996873149748081,0.0002,tied,10,non-pca
1,0.9978019795087218,0.9941795205052812,2.8636930754834684e-05,tied,10,non-pca
2,0.9859033240799789,0.9676555210510968,9.004106221822215e-05,tied,10,non-pca
3,0.9974447621483788,0.9947362657519097,0.0016121742814772968,tied,10,non-pca
4,0.9960225266655284,0.987754715523305,0.0008999178981937602,tied,10,non-pca
5,0.9991318356736509,0.9976052966611128,7.928118393234674e-08,tied,10,non-pca
6,0.998600244217721,0.99580367328705,0.3645710195648847,tied,10,non-pca
7,0.9866104081633833,0.9721635298229684,0.00014816439465514914,tied,10,non-pca
8,0.9981217958852187,0.9951992752141031,0.34380013106159896,tied,10,non-pca
9,0.997189455426627,0.9925553357822572,0.0,tied,10,non-pca
0,1.0,1.0,0.00055,tied,11,non-pca
1,0.9996797095879387,0.998837462464767,0.708850028273765,tied,11,non-pca
2,0.8785886585669611,0.8771762581069357,0.0060542263473670225,tied,11,non-pca
3,0.9996797095879387,0.9988374624647672,0.34315001457513483,tied,11,non-pca
4,0.9961341239931107,0.9882808215813701,0.00034929213393780325,tied,11,non-pca
5,0.9996797095879387,0.9988374624647672,0.0,tied,11,non-pca
6,1.0,1.0,0.344,tied,11,non-pca
7,0.9996797095879387,0.9988374624647672,0.00085,tied,11,non-pca
8,0.876716734275117,0.8762374669287043,1.0114107883817428e-06,tied,11,non-pca
9,0.9970306242226823,0.9924235721636923,0.0,tied,11,non-pca
0,0.9950922124098845,0.9883921275587378,0.2677895632864545,tied,12,non-pca
1,0.9963976729280608,0.9913250114224924,0.0007695560253699789,tied,12,non-pca
2,0.9963158819782856,0.9910137123595519,0.26765435511916685,tied,12,non-pca
3,0.9963976729280608,0.9913250114224927,0.0002998377501352082,tied,12,non-pca
4,0.8752049978183176,0.874174499677317,0.005590719052121372,tied,12,non-pca
5,0.9963158819782856,0.9910137123595519,0.3689005137912385,tied,12,non-pca
6,0.996203693570408,0.9895587303388925,0.00044513392710151135,tied,12,non-pca
7,0.9963158819782856,0.9910137123595519,0.2896608757573139,tied,12,non-pca
8,0.9968653725045834,0.9920925705998425,0.36923384712457186,tied,12,non-pca
9,0.9736995652125938,0.9548827313229193,0.007973218946123902,tied,12,non-pca
0,-5.986081499696609e-05,4.242748478136557e-06,0.28547160938204486,tied,2,pca
1,1.0,1.0,1.0,tied,2,pca
2,-5.986081499696609e-05,4.242748478136557e-06,0.7138858884839165,tied,2,pca
3,1.0,1.0,1.0,tied,2,pca
4,-5.986081499696609e-05,4.242748478136557e-06,0.28547160938204486,tied,2,pca
5,1.0,1.0,1.0,tied,2,pca
6,-5.986081499696609e-05,4.242748478136557e-06,0.28547160938204486,tied,2,pca
7,-5.986081499696609e-05,4.242748478136557e-06,0.28547160938204486,tied,2,pca
8,-5.986081499696609e-05,4.242748478136557e-06,0.7138858884839165,tied,2,pca
9,-0.000553487181915412,6.707685997172058e-05,0.9983005199999999,tied,2,pca
0,0.5186432971046024,0.7056370436633119,0.00024986449864498645,tied,3,pca
1,0.5186432971046024,0.7056370436633119,0.00024986449864498645,tied,3,pca
2,0.5186432971046024,0.7056370436633119,0.19042245406727665,tied,3,pca
3,0.5186432971046024,0.7056370436633119,0.00024986449864498645,tied,3,pca
4,0.5186432971046024,0.7056370436633119,0.00024986449864498645,tied,3,pca
5,0.5186432971046024,0.7056370436633119,0.00024986449864498645,tied,3,pca
6,0.5186432971046024,0.7056370436633119,0.00024986449864498645,tied,3,pca
7,0.5179017470889742,0.7028249995027658,0.47547353481610444,tied,3,pca
8,0.5186432971046024,0.7056370436633119,0.19042245406727665,tied,3,pca
9,0.5186432971046024,0.7056370436633119,0.45292254880866395,tied,3,pca
0,1.0,1.0,0.0,tied,4,pca
1,1.0,1.0,0.7137,tied,4,pca
2,0.9972264601941394,0.9905726539874766,0.0,tied,4,pca
3,1.0,1.0,0.0,tied,4,pca
4,1.0,1.0,0.0009,tied,4,pca
5,0.9972264601941394,0.9905726539874768,0.00045,tied,4,pca
6,1.0,1.0,0.0,tied,4,pca
7,1.0,1.0,0.7137,tied,4,pca
8,1.0,1.0,0.0,tied,4,pca
9,1.0,1.0,0.7137,tied,4,pca
0,0.9979949531636971,0.9933660217110626,0.0002,tied,5,pca
1,0.9979949531636971,0.9933660217110626,0.28605025934727446,tied,5,pca
2,0.9974061691457279,0.9921124995987343,0.28465007018775224,tied,5,pca
