model,mavg,glm_family
diag_2,0.7019224940071657,logit
diag_2,0.6973798558976625,probit
diag_2,0.6933237946233072,cauchy
diag_2,0.7042150545776414,loglog
diag_2,0.6971301213804948,cloglog
diag_2_pca,0.7089001400926207,logit
diag_2_pca,0.7029771643495563,probit
diag_2_pca,0.6896965562547275,cauchy
diag_2_pca,0.7128618727240147,loglog
diag_2_pca,0.7026730133093368,cloglog
diag_3,0.6996827344379999,logit
diag_3,0.7072484798187411,probit
diag_3,0.7015573521108995,cauchy
diag_3,0.7075612287682382,loglog
diag_3,0.711175929278135,cloglog
diag_3_pca,0.6867792520270708,logit
diag_3_pca,0.6872839597982368,probit
diag_3_pca,0.6825951686957622,cauchy
diag_3_pca,0.7083388800504861,loglog
diag_3_pca,0.7075257851531299,cloglog
diag_4,0.6927580947490342,logit
diag_4,0.6983811810570673,probit
diag_4,0.6997331351762872,cauchy
diag_4,0.6985300650858868,loglog
diag_4,0.7052089825299324,cloglog
diag_4_pca,0.6783981646706065,logit
diag_4_pca,0.6799046033891795,probit
diag_4_pca,0.6754795427582689,cauchy
diag_4_pca,0.7061157166698996,loglog
diag_4_pca,0.681299461382421,cloglog
diag_5,0.7085305538690136,logit
diag_5,0.7130540215824158,probit
diag_5,0.7027894228114258,cauchy
diag_5,0.7145445553641687,loglog
diag_5,0.7080930532060942,cloglog
diag_5_pca,0.6682707923657208,logit
diag_5_pca,0.6652681467519518,probit
diag_5_pca,0.6685538504199791,cauchy
diag_5_pca,0.6797392239528176,loglog
diag_5_pca,0.6551636592920665,cloglog
diag_6,0.6983280066631081,logit
diag_6,0.6999387928668133,probit
diag_6,0.7019863882665502,cauchy
diag_6,0.7016350267134867,loglog
diag_6,0.6963285683233554,cloglog
diag_6_pca,0.6747585910047402,logit
diag_6_pca,0.6646287757424817,probit
diag_6_pca,0.6854052649921187,cauchy
diag_6_pca,0.6822329368025697,loglog
diag_6_pca,0.6647906597784881,cloglog
diag_7,0.6990008476364038,logit
diag_7,0.701584848528716,probit
diag_7,0.6986079899861196,cauchy
diag_7,0.7039923641491439,loglog
diag_7,0.6980971345008575,cloglog
diag_7_pca,0.6647369295326729,logit
diag_7_pca,0.6607122263138989,probit
diag_7_pca,0.6605282607732832,cauchy
diag_7_pca,0.6725909197650513,loglog
diag_7_pca,0.6471696341349502,cloglog
diag_8,0.7038211674110451,logit
diag_8,0.6972431765607374,probit
diag_8,0.7031302622303518,cauchy
diag_8,0.6948576939910005,loglog
diag_8,0.709430578432683,cloglog
diag_8_pca,0.6482652605359939,logit
diag_8_pca,0.657076618097319,probit
diag_8_pca,0.6567113260792369,cauchy
diag_8_pca,0.6522177347292178,loglog
diag_8_pca,0.64426832927434,cloglog
diag_9,0.689831584848972,logit
diag_9,0.7046876851994793,probit
diag_9,0.704294490329141,cauchy
diag_9,0.6822878073489087,loglog
diag_9,0.6898931473669728,cloglog
diag_9_pca,0.6445609460218261,logit
diag_9_pca,0.6495356798193829,probit
diag_9_pca,0.6543229514330458,cauchy
diag_9_pca,0.6509145794619846,loglog
diag_9_pca,0.6503077714552207,cloglog
diag_10,0.7044028012620563,logit
diag_10,0.7047940112089994,probit
diag_10,0.6975429110301492,cauchy
diag_10,0.7115094046065116,loglog
diag_10,0.7102412805046544,cloglog
diag_10_pca,0.6411491482637166,logit
diag_10_pca,0.6525492833998893,probit
diag_10_pca,0.6644516103784195,cauchy
diag_10_pca,0.6453510397556409,loglog
diag_10_pca,0.6498783368027561,cloglog
diag_11,0.6867152596229177,logit
diag_11,0.6952398379928044,probit
diag_11,0.6979286808871645,cauchy
diag_11,0.6972529032054239,loglog
diag_11,0.7002149466911424,cloglog
diag_11_pca,0.6399025413531922,logit
diag_11_pca,0.6479935277737676,probit
diag_11_pca,0.651376278748036,cauchy
diag_11_pca,0.6482600529691492,loglog
diag_11_pca,0.6531852964976459,cloglog
diag_12,0.6902225380266741,logit
diag_12,0.6735713699309668,probit
diag_12,0.6735910592431584,cauchy
diag_12,0.6639599626784607,loglog
diag_12,0.6874773825587963,cloglog
diag_12_pca,0.6531924951904435,logit
diag_12_pca,0.6493724993245037,probit
diag_12_pca,0.644009091549899,cauchy
diag_12_pca,0.6527910930881599,loglog
diag_12_pca,0.6600323206353623,cloglog
