model,mavg,glm_family
full_2,0.7073736812129678,logit
full_2,0.7043676694340157,probit
full_2,0.7026799623912015,cauchy
full_2,0.716286239992885,loglog
full_2,0.7104448721382973,cloglog
full_2_pca,0.6960258425093254,logit
full_2_pca,0.6946582121924021,probit
full_2_pca,0.6911313580441569,cauchy
full_2_pca,0.7030167817843247,loglog
full_2_pca,0.6960121578552814,cloglog
full_3,0.7028390861411042,logit
full_3,0.7089960564083972,probit
full_3,0.6982290276295261,cauchy
full_3,0.7191260960207431,loglog
full_3,0.7069467207127897,cloglog
full_3_pca,0.7043321934958524,logit
full_3_pca,0.7028907185592209,probit
full_3_pca,0.6859910890977877,cauchy
full_3_pca,0.7047945244090827,loglog
full_3_pca,0.7050038788731533,cloglog
full_4,0.7077253879359052,logit
full_4,0.7117084830770016,probit
full_4,0.6986581231175538,cauchy
full_4,0.7056107239039358,loglog
full_4,0.7018099349312735,cloglog
full_4_pca,0.6817589313355303,logit
full_4_pca,0.6928053446868278,probit
full_4_pca,0.6801861436019042,cauchy
full_4_pca,0.7018675694945897,loglog
full_4_pca,0.6776181796192602,cloglog
full_5,0.7121415193836755,logit
full_5,0.6978154344068948,probit
full_5,0.7042864872406592,cauchy
full_5,0.6984927391725729,loglog
full_5,0.7114454335296237,cloglog
full_5_pca,0.6822556012588213,logit
full_5_pca,0.6764621334338103,probit
full_5_pca,0.6612561580422416,cauchy
full_5_pca,0.6797551429192582,loglog
full_5_pca,0.6882958560081259,cloglog
full_6,0.7160525286679429,logit
full_6,0.7129571292249436,probit
full_6,0.7038930682610613,cauchy
full_6,0.7145862732349795,loglog
full_6,0.705569244294554,cloglog
full_6_pca,0.670057995176215,logit
full_6_pca,0.6773105178209397,probit
full_6_pca,0.6710243585059886,cauchy
full_6_pca,0.6715981772788052,loglog
full_6_pca,0.6806447265920328,cloglog
full_7,0.7015784900778843,logit
full_7,0.7015602306926437,probit
full_7,0.6899301521419152,cauchy
full_7,0.7136487418403386,loglog
full_7,0.7013573261998333,cloglog
full_7_pca,0.6834680462409171,logit
full_7_pca,0.6752933512827111,probit
full_7_pca,0.6662561609476855,cauchy
full_7_pca,0.6706315621214832,loglog
full_7_pca,0.6718413859101701,cloglog
full_8,0.7001800352208583,logit
full_8,0.7043411803319263,probit
full_8,0.7007304953679954,cauchy
full_8,0.712587109236827,loglog
full_8,0.7063768252483081,cloglog
full_8_pca,0.6845958398209063,logit
full_8_pca,0.6837303975534915,probit
full_8_pca,0.678794726068275,cauchy
full_8_pca,0.6848952559874348,loglog
full_8_pca,0.6750566551274516,cloglog
full_9,0.697410066974521,logit
full_9,0.7005899952985383,probit
full_9,0.6958733906593138,cauchy
full_9,0.7017593826885032,loglog
full_9,0.6984190308172504,cloglog
full_9_pca,0.6655361778569462,logit
full_9_pca,0.6721818198411811,probit
full_9_pca,0.6722062132274412,cauchy
full_9_pca,0.6685460055953883,loglog
full_9_pca,0.6713998656585914,cloglog
full_10,0.70630615876987,logit
full_10,0.710550336648905,probit
full_10,0.6920381570109368,cauchy
full_10,0.6984853169035116,loglog
full_10,0.6963467051786958,cloglog
full_10_pca,0.6877594603430697,logit
full_10_pca,0.6788893903827316,probit
full_10_pca,0.6750746044429584,cauchy
full_10_pca,0.6818881056214607,loglog
full_10_pca,0.6872461108006946,cloglog
full_11,0.6902708348572772,logit
full_11,0.6951987368061794,probit
full_11,0.6831315159440181,cauchy
full_11,0.7090551898335502,loglog
full_11,0.6946347808189721,cloglog
full_11_pca,0.68427576608829,logit
full_11_pca,0.6817624682606032,probit
full_11_pca,0.677222576061325,cauchy
full_11_pca,0.6846192625654878,loglog
full_11_pca,0.676638381375856,cloglog
full_12,0.6951696003159894,logit
full_12,0.6972276136470016,probit
full_12,0.704635072270769,cauchy
full_12,0.7050845937258848,loglog
full_12,0.6936828855807103,cloglog
full_12_pca,0.6846987706424374,logit
full_12_pca,0.6873080803198777,probit
full_12_pca,0.6676517685680486,cauchy
full_12_pca,0.6940109553034431,loglog
full_12_pca,0.6890976545605287,cloglog
