model,mavg,glm_family
tied_2,0.7084418074667733,logit
tied_2,0.7103648936387805,probit
tied_2,0.7024092405508386,cauchy
tied_2,0.7105770608892105,loglog
tied_2,0.7005614272326828,cloglog
tied_2_pca,0.697443820578273,logit
tied_2_pca,0.6893437840208417,probit
tied_2_pca,0.6878758521970665,cauchy
tied_2_pca,0.6951596277248442,loglog
tied_2_pca,0.6936955733635067,cloglog
tied_3,0.6901766398054268,logit
tied_3,0.6972416635149244,probit
tied_3,0.689510094683566,cauchy
tied_3,0.7022570585115866,loglog
tied_3,0.692330741055048,cloglog
tied_3_pca,0.647062596712022,logit
tied_3_pca,0.6531153358380757,probit
tied_3_pca,0.6552016594575754,cauchy
tied_3_pca,0.6423236546634935,loglog
tied_3_pca,0.6545491399523882,cloglog
tied_4,0.7095400169735007,logit
tied_4,0.700205605568177,probit
tied_4,0.7064423219814605,cauchy
tied_4,0.7059538303790358,loglog
tied_4,0.6957601562223711,cloglog
tied_4_pca,0.6918373394274074,logit
tied_4_pca,0.6918897057249829,probit
tied_4_pca,0.6825412944014126,cauchy
tied_4_pca,0.6984859210446395,loglog
tied_4_pca,0.6951358230050482,cloglog
tied_5,0.7000533319954652,logit
tied_5,0.7062373631115696,probit
tied_5,0.6918316320456259,cauchy
tied_5,0.7117003516006615,loglog
tied_5,0.6897130757348859,cloglog
tied_5_pca,0.6918897057249829,logit
tied_5_pca,0.6919682477408324,probit
tied_5_pca,0.6819741640214716,cauchy
tied_5_pca,0.6985692875092253,loglog
tied_5_pca,0.7066162535355558,cloglog
tied_6,0.7033189413398143,logit
tied_6,0.7112661991504486,probit
tied_6,0.6935342648173459,cauchy
tied_6,0.715223886589321,loglog
tied_6,0.7039951899590983,cloglog
tied_6_pca,0.6443604879484812,logit
tied_6_pca,0.6511220930151516,probit
tied_6_pca,0.6489139728633949,cauchy
tied_6_pca,0.6305520386005997,loglog
tied_6_pca,0.6491096349581984,cloglog
tied_7,0.698902653926439,logit
tied_7,0.7023311365729654,probit
tied_7,0.693215796266514,cauchy
tied_7,0.7082831338669464,loglog
tied_7,0.696130850283842,cloglog
tied_7_pca,0.6565944135829188,logit
tied_7_pca,0.6364080405940706,probit
tied_7_pca,0.6445163324235632,cauchy
tied_7_pca,0.6424898452026112,loglog
tied_7_pca,0.6544296764661242,cloglog
tied_8,0.7160680191906862,logit
tied_8,0.7087739325441417,probit
tied_8,0.6972451219005298,cauchy
tied_8,0.698902653926439,loglog
tied_8,0.6971228575528345,cloglog
tied_8_pca,0.6521729978707357,logit
tied_8_pca,0.636290713525845,probit
tied_8_pca,0.6536470519500919,cauchy
tied_8_pca,0.6395541154526877,loglog
tied_8_pca,0.6534675550326509,cloglog
tied_9,0.6470197395164312,logit
tied_9,0.6562525075429725,probit
tied_9,0.6541455291823692,cauchy
tied_9,0.6544353876302423,loglog
tied_9,0.6438393138513896,cloglog
tied_9_pca,0.655398065856699,logit
tied_9_pca,0.6362720017187343,probit
tied_9_pca,0.6548674492816455,cauchy
tied_9_pca,0.6440053940840198,loglog
tied_9_pca,0.6534178295404333,cloglog
tied_10,0.640866731966867,logit
tied_10,0.6349399177127317,probit
tied_10,0.6277382479836849,cauchy
tied_10,0.6349693495130289,loglog
tied_10,0.6464826192490868,cloglog
tied_10_pca,0.6552315151844276,logit
tied_10_pca,0.6506004979508082,probit
tied_10_pca,0.639310410792903,cauchy
tied_10_pca,0.6553634345299169,loglog
tied_10_pca,0.6405850381221262,cloglog
tied_11,0.6200029777795335,logit
tied_11,0.6384665315763062,probit
tied_11,0.6245900838015255,cauchy
tied_11,0.6342372318744707,loglog
tied_11,0.6350957957920612,cloglog
tied_11_pca,0.639231717245158,logit
tied_11_pca,0.6438914174758791,probit
tied_11_pca,0.6451876885209877,cauchy
tied_11_pca,0.6499428025521449,loglog
tied_11_pca,0.6492494835076725,cloglog
tied_12,0.6439929442327016,logit
tied_12,0.6496745551528074,probit
tied_12,0.6355579364283255,cauchy
tied_12,0.6396919065390428,loglog
tied_12,0.6371871460629145,cloglog
tied_12_pca,0.6324049455733508,logit
tied_12_pca,0.6261072220355869,probit
tied_12_pca,0.6273932997018321,cauchy
tied_12_pca,0.6286894037260136,loglog
tied_12_pca,0.6355213702510303,cloglog
